epoch,train_acc,train_loss,test_acc,test_loss,,,,,,,,
,,,,,,,,,,,,
7,0.989528794,0.049931294,0.84375,0.346466973,,,,,,,,
,,,,,,,,,,,,
8,0.989528796,0.033787866,0.864583333,0.311662237,,,,,,,,
,,,,,,,,,,,,
9,0.994764398,0.033465203,0.916666667,0.287592679,,,,,,,,
,,,,,,,,,,,,
0,0.670157069,0.675979774,0.666666667,0.666606784,,,,,,,,
,,,,,,,,,,,,
1,0.727748692,0.614924639,0.677083333,0.624242882,,,,,,,,
,,,,,,,,,,,,
2,0.764397904,0.524360154,0.854166667,0.372014403,,,,,,,,
,,,,,,,,,,,,
3,0.798429318,0.519811959,0.708333333,0.54444468,,,,,,,,
,,,,,,,,,,,,
4,0.774869111,0.469069718,0.708333333,0.553280612,,,,,,,,
,,,,,,LSTM,,,,,,
5,0.77748691,0.465764856,0.708333333,0.54642868,,,,,,,,
,,,,,,,,,,,,
6,0.78010471,0.45724727,0.71875,0.534221947,,,,,,,,
,,,,,,,,,,,,
7,0.790575915,0.441590786,0.71875,0.516798178,,,,,,,,
,,,,,,,,,,,,
8,0.79842932,0.421899592,0.770833333,0.482744326,,,,,,,,
,,,,,,,,,,,,
9,0.832460731,0.369600843,0.864583333,0.350021635,,,,,,,,
,,,,,,,,,,,,
0,0.722513088,0.573398627,0.75,0.530250827,,,,,,,,
,,,,,,,,,,,,
1,0.861256543,0.391803911,0.84375,0.432274769,,,,,,,,
,,,,,,,,,,,,
2,0.926701571,0.244802291,0.875,0.320800712,,,,,,,,
,,,,,,,,,,,,
3,0.952879581,0.144234974,0.90625,0.277315309,,,,,,,,
,,,,,,,,,,,,
4,0.98167539,0.094154304,0.927083333,0.259007096,,,,,,,,
,,,,,,LSTM BACKWARD,,,,,,
5,0.984293194,0.076270995,0.9375,0.21693865,,,,,,,,
,,,,,,,,,,,,
6,0.984293194,0.056935255,0.9375,0.191109409,,,,,,,,
,,,,,,,,,,,,
7,0.989528796,0.04499027,0.9375,0.15256233,,,,,,,,
,,,,,,,,,,,,
8,0.989528796,0.033916698,0.947916667,0.132011694,,,,,,,,
,,,,,,,,,,,,
9,0.989528796,0.025102005,0.958333333,0.111417974,,,,,,,,
,,,,,,,,,,,,
0,0.664921466,0.675730656,0.625,0.661410471,,,,,,,,
,,,,,,,,,,,,
1,0.732984294,0.585516527,0.6875,0.612336854,,,,,,,,
,,,,,,,,,,,,
2,0.761780103,0.497729481,0.739583333,0.522703499,,,,,,,3,
,,,,,,,,,,,0.947916667,CNN-RNN
3,0.829842932,0.372088039,0.833333333,0.388554066,,,,,,,0.916666667,CNN-LSTM F=1
,,,,,,,,,,,0.9375,CNN-LSTM  
4,0.87434555,0.296003276,0.84375,0.335547174,,,,,,,0.947916667,CNN-GRU
,,,,,,GRU,,,,,0.9375,CNN
5,0.918848168,0.214782234,0.864583333,0.344435717,,,,,,,0.75,RNN
,,,,,,,,,,,0.916666667,RNN B
6,0.926701571,0.194095443,0.864583333,0.368771036,,,,,,,0.864583333,LSTM
,,,,,,,,,,,0.958333333,LSTM B
7,0.945026179,0.16894629,0.864583333,0.374981483,,,,,,,0.90625,GRU
,,,,,,,,,,,0.979166667,GRU B
8,0.95549738,0.118937226,0.895833333,0.359999254,,,,,,,,
,,,,,,,,,,,,
9,0.976439788,0.090689273,0.90625,0.352932677,,,,,,,,
,,,,,,,,,,,,
0,0.67801047,0.539667449,0.71875,0.523235937,,,,,,,,
,,,,,,,,,,,,
1,0.863874344,0.31830525,0.78125,0.423090965,,,,,,,,
,,,,,,,,,,,,
2,0.942408377,0.187115207,0.854166667,0.330246846,,,,,,,,
,,,,,,,,,,,,
3,0.960732982,0.11388117,0.885416667,0.258096854,,,,,,,,
,,,,,,,,,,,,
4,0.981675393,0.074104692,0.9375,0.192285816,,,,,,,,
,,,,,,GRU BACKWARD,,,,,,
5,0.989528794,0.047274331,0.947916667,0.158498034,,,,,,,,
,,,,,,,,,,,,
6,0.986910993,0.037400274,0.947916667,0.139713541,,,,,,,,
,,,,,,,,,,,,
7,0.989528796,0.02270781,0.947916667,0.129189126,,,,,,,,
,,,,,,,,,,,,
8,0.989528796,0.019289601,0.947916667,0.118304297,,,,,,,,
,,,,,,,,,,,,
9,0.994764398,0.017094137,0.979166667,0.110080133,,,,,,,,
0,0.803664919,0.420530137,0.90625,0.302716464,,,,,,,,
