,TRAIN_ACC,TRAIN_LOSS,TEST_ACC,TEST_LOSS,,,,,,,,,,,,
8,0.986910995,0.019341595,0.864583333,0.309481308,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
9,0.984293194,0.025697817,0.885416667,0.216316005,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0,0.801047121,0.497584358,0.791666667,0.474284679,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,0.785340313,0.441453311,0.697916667,0.465464811,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2,0.869109946,0.430983361,0.802083333,0.445129335,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3,0.87958115,0.419423563,0.791666667,0.44167304,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
4,0.908376964,0.400106819,0.895833333,0.415915161,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5,0.926701569,0.360379616,0.895833333,0.366094311,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
6,0.971204188,0.139616988,0.927083333,0.206358478,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
7,0.971204188,0.072150994,0.84375,0.575944046,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
8,0.968586387,0.079474237,0.90625,0.275097281,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
9,0.979057592,0.060333277,0.90625,0.216079639,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0,0.785340312,0.535353027,0.90625,0.382211129,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,0.945026176,0.267038274,0.90625,0.263227736,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2,0.965968586,0.144655807,0.9375,0.181108649,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3,0.976439788,0.090759776,0.927083333,0.15878758,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
4,0.979057589,0.061608132,0.895833333,0.198232532,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5,0.98167539,0.041859516,0.927083333,0.164480417,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
6,0.989528796,0.027562309,0.90625,0.196673011,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
7,0.989528796,0.023392689,0.927083333,0.178071703,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
8,0.989528794,0.019417058,0.90625,0.196873819,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
9,0.989528796,0.018741055,0.927083333,0.20054883,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0,0.882198953,0.286438951,0.885416667,0.30084044,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,0.916230364,0.204125738,0.927083333,0.274213165,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2,0.97382199,0.101715184,0.916666667,0.249051452,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3,1,0.027056048,0.947916667,0.221602807,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
4,1,0.00641925,0.927083333,0.234517738,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5,1,0.003062754,0.927083333,0.239474893,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
6,1,0.001865996,0.947916667,0.246224649,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
7,1,0.001278811,0.927083333,0.244972547,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
8,1,0.001072402,0.927083333,0.250981023,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
9,1,0.000910198,0.927083333,0.2573218,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0,0.685863875,0.622471619,0.833333333,0.344647199,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,0.968586388,0.134351122,0.90625,0.212851167,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2,0.989528796,0.042180923,0.927083333,0.180185666,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3,0.992146597,0.022663709,0.9375,0.157408528,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
4,1,0.014544602,0.9375,0.145074549,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5,1,0.008387724,0.947916667,0.137087472,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
6,1,0.006595666,0.947916667,0.130051342,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
7,1,0.005441209,0.947916667,0.130236804,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
8,1,0.00383546,0.9375,0.126925841,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
9,1,0.004276981,0.947916667,0.128026051,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0,0.633507852,0.509595836,0.75,0.471010139,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,0.777486912,0.443610575,0.802083333,0.448990564,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2,0.910994764,0.42873924,0.895833333,0.442925851,,,,,,,,,,,,
,,,,,,,,,,,,8,1,0.014245176,0.947916667,0.150628244
3,0.903141362,0.414142364,0.791666667,0.448224694,,,,,,,,8,0.989528796,0.025425811,0.927083333,0.149890805
,,,,,,,,,,,,4,0.981675393,0.045306219,0.916666667,0.16052828
